kg,lbs,2.20462
kg,ton,0.001
kg,g,1000
kg,mg,1000000
kg,stone,0.157473
kg,oz,35.274
ton,kg,1000
ton,lbs,2204.62
ton,oz,35274
lbs,kg,0.453592
lbs,oz,16
lbs,stone,0.0714286
lbs,g,453.592
m,km,0.001
m,m,1
m,cm,100
m,mm,1000
m,mi,0.000621371
m,in,39.3701
m,ft,3.28084
m,yd,1.09361
